,method,metric
140,InputXGradient,1.8069641016012827
141,InputXGradient,2.613216617128347
142,InputXGradient,2.114402042469234
143,InputXGradient,1.9387450097176524
144,causal,0.47236755248522705
145,causal,0.47236755248522705
146,causal,0.47236755248522705
147,causal,0.47236755248522705
148,causal,0.47236755248522705
149,causal,0.47236755248522705
150,IntegratedGradients,1.5562541594421682
151,IntegratedGradients,1.696912107837014
152,IntegratedGradients,1.8306498198469097
153,IntegratedGradients,1.745068799700225
154,IntegratedGradients,1.5092781862559785
155,IntegratedGradients,1.4714177501940149
156,Saliency,2.837347167020962
157,Saliency,3.1385457721333863
158,Saliency,3.351191570336135
159,Saliency,4.101009249307337
160,Saliency,3.026345948860852
161,Saliency,3.080969563947931
162,GradientShap,1.9557407448865198
163,GradientShap,1.9045189811645256
164,GradientShap,1.917820067485213
165,GradientShap,2.3267119167211763
166,GradientShap,1.786784884045659
167,GradientShap,1.6611376838160326
168,InputXGradient,1.9891287856417228
169,InputXGradient,1.8929316770537001
170,InputXGradient,1.9302563614986923
171,InputXGradient,2.0939115903571843
172,InputXGradient,1.790039353216985
173,InputXGradient,1.6757992424853545
174,causal,0.2260396459673525
175,causal,0.2260396459673525
176,causal,0.34508886461312216
177,causal,0.34508886461312216
178,causal,0.34508886461312216
179,causal,0.34508886461312216
180,IntegratedGradients,1.8649984742124652
181,IntegratedGradients,1.4039224154649586
182,IntegratedGradients,1.7292846682144756
183,IntegratedGradients,1.8182964431783442
184,IntegratedGradients,1.5735826384609046
185,IntegratedGradients,1.7079821531926855
186,Saliency,2.859451066660478
187,Saliency,3.482074245161211
188,Saliency,3.969124019128799
189,Saliency,3.1812443593139093
190,Saliency,2.838350002085179
191,Saliency,3.750886459045251
192,GradientShap,2.074561815312497
193,GradientShap,1.6190614699126944
194,GradientShap,1.9947633705281174
195,GradientShap,2.136681569526306
196,GradientShap,1.7731105633230597
197,GradientShap,2.019443977500788
198,InputXGradient,2.167528716493671
199,InputXGradient,1.8172146722297384
200,InputXGradient,1.9879273610915067
201,InputXGradient,2.1332541072539386
202,InputXGradient,1.7940080837806283
203,InputXGradient,1.9518235032676354
204,causal,0.32150651485757675
205,causal,0.32150651485757675
206,causal,0.32150651485757675
207,causal,0.32150651485757675
208,causal,0.32150651485757675
209,causal,0.32150651485757675
210,IntegratedGradients,1.6938603502582936
211,IntegratedGradients,1.5274355812894458
212,IntegratedGradients,1.5601722449500142
213,IntegratedGradients,1.502300979746157
214,IntegratedGradients,2.06215443466882
215,IntegratedGradients,1.9450433172545245
216,Saliency,4.431171317248696
217,Saliency,2.366989814665172
218,Saliency,4.091662572515922
219,Saliency,3.0804907600039244
220,Saliency,5.375339866446658
221,Saliency,3.0407117683314997
222,GradientShap,2.1680211607327085
223,GradientShap,1.7299936515228915
224,GradientShap,1.8726315027713258
225,GradientShap,1.9793337367883643
226,GradientShap,2.18815445313347
227,GradientShap,2.324990778859039
